Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Level,EnvironmentSatisfaction_Level,JobInvolvement_Level,JobSatisfaction_Level,PerformanceRating_Level,RelationshipSatisfaction_Level,WorkLifeBalance_Level,EmployeeID,RecordCreationDate,LastUpdatedDate,TenurePerCompany,IncomePerYearOfService
35,No,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3,Bachelor,Low,Very High,Medium,Excellent,High,Better,fc37e632-59ea-4ef4-b699-1b2a47ffa8de,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,404.3333333333333
29,No,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8,College,Very High,Medium,High,Excellent,Very High,Better,33ca46ab-8449-4220-b1bb-530f1241685d,2025-04-23 17:27:03,2025-04-23 17:27:03,10.0,419.3
31,No,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3,Below College,Low,High,High,Excellent,Very High,Good,a81075a5-a035-455a-9bcc-cef7a4b34127,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,485.1666666666667
34,No,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,2661,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2,College,Medium,High,Very High,Excellent,High,Better,e8d173ce-1b3f-49c0-8180-2558eb8ad72a,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,887.0
28,Yes,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3,Bachelor,High,Medium,High,Excellent,Medium,Better,6e4ea380-a277-4cbb-a0c5-b85b169566fe,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,405.6
29,No,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8,Master,Medium,Very High,Low,Excellent,High,Better,2732fa76-e5bf-4604-ba97-540ba276e1bc,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,907.2727272727273
32,No,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,3298,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5,College,Low,Very High,Medium,Excellent,Very High,Good,30ee2265-3049-4fa5-8630-c7254c1fc4ce,2025-04-23 17:27:03,2025-04-23 17:27:03,7.0,471.14285714285717
22,No,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0,College,Very High,Very High,Very High,Excellent,Medium,Good,64b80654-34f3-4c49-ba56-7492244bfe85,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1467.5
53,No,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,15427,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7,Master,Low,Medium,Very High,Excellent,High,Better,50887797-0e1c-401c-811b-4bebe8fea2b1,2025-04-23 17:27:03,2025-04-23 17:27:03,10.333333333333334,593.3461538461538
38,No,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,3944,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2,Bachelor,Very High,High,Very High,Excellent,High,Better,ae64f033-e3a2-4a89-b399-21502b400705,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,986.0
24,No,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3,College,Low,Very High,High,Excellent,Very High,Good,4e1384ac-e7b7-4c3f-ac4b-7843dc95c36b,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,802.2
36,Yes,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3,Master,High,Medium,Low,Outstanding,Medium,Better,abdc3ad1-9127-4a37-a10d-7f3d7765ce4e,2025-04-23 17:27:03,2025-04-23 17:27:03,1.25,567.8333333333334
34,No,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11,Master,Low,High,Medium,Excellent,High,Better,b95c0c18-0e13-4b72-b150-37560fc2ec8d,2025-04-23 17:27:03,2025-04-23 17:27:03,13.0,922.6153846153846
21,No,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0,College,High,High,Very High,Excellent,Very High,Better,7608d8d1-b8a3-429c-aff2-bbd17ed0b086,2025-04-23 17:27:03,2025-04-23 17:27:03,0.0,1232.0
34,Yes,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,2960,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3,Below College,Medium,High,Low,Excellent,High,Better,4dd75861-7ccb-4d4c-b082-b90097bfc724,2025-04-23 17:27:03,2025-04-23 17:27:03,2.6666666666666665,592.0
53,No,2,1282,1,5,3,4,1,32,3,0,58,3,5,3,3,0,19094,10735,4,0,0,11,3,4,80,1,26,3,2,14,13,4,8,Bachelor,High,High,High,Excellent,Very High,Good,f9be0bf4-521e-46e4-b153-71785ff431a2,2025-04-23 17:27:03,2025-04-23 17:27:03,5.2,1272.9333333333334
32,Yes,1,1125,1,16,1,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7,Below College,Medium,Low,Low,Outstanding,Medium,Better,52e7beac-e880-4877-b985-e342d4308eba,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,356.27272727272725
42,No,2,691,2,8,4,2,1,35,3,1,48,3,2,7,2,1,6825,21173,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2,Master,High,High,Medium,Excellent,Very High,Better,29aee7db-bdc1-41c3-b137-5ade17a3796e,2025-04-23 17:27:03,2025-04-23 17:27:03,10.0,682.5
44,No,2,477,1,7,4,3,1,36,1,0,42,2,3,0,4,1,10248,2094,3,0,0,14,3,4,80,1,24,4,3,22,6,5,17,Master,Low,Medium,Very High,Excellent,Very High,Better,4f7d950a-0891-4a4a-8a98-8547fa92b3ef,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,445.5652173913044
46,No,2,705,2,2,4,2,1,38,2,0,83,3,5,3,1,2,18947,22822,3,0,0,12,3,4,80,0,22,2,2,2,2,2,1,Master,Medium,High,Low,Excellent,Very High,Good,10913574-322d-4f6b-9ac6-91b867781655,2025-04-23 17:27:03,2025-04-23 17:27:03,5.5,6315.666666666667
33,No,2,924,1,2,3,3,1,39,3,1,78,3,1,2,4,2,2496,6670,4,0,0,11,3,4,80,0,7,3,3,1,1,0,0,Bachelor,High,High,Very High,Excellent,Very High,Better,bc795ae8-27b2-47b2-b335-a045969e9abe,2025-04-23 17:27:03,2025-04-23 17:27:03,1.4,1248.0
44,No,2,1459,1,10,4,4,1,40,4,1,41,3,2,0,4,1,6465,19121,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3,Master,Very High,High,Very High,Excellent,Very High,Best,58802806-a52e-4b7d-8b61-08dc28e84d7b,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,1293.0
30,No,2,125,1,9,2,3,1,41,4,1,83,2,1,2,3,2,2206,16117,1,0,0,13,3,1,80,0,10,5,3,10,0,1,8,College,Very High,Medium,High,Excellent,Low,Better,0ab7f20b-d43c-4d69-b272-15e46524ce7f,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,200.54545454545453
39,Yes,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,2086,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0,Bachelor,Very High,High,Very High,Excellent,High,Best,60c0d231-0f05-4d16-8645-61af2cdb4e8e,2025-04-23 17:27:03,2025-04-23 17:27:03,4.75,1043.0
24,Yes,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0,Bachelor,Medium,High,Very High,Excellent,Low,Good,c0995cf0-841c-41c8-8db2-69f1cbc19499,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,764.3333333333334
43,No,2,1273,1,2,2,3,1,46,4,0,72,4,1,6,3,0,2645,21923,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4,College,Very High,Very High,High,Excellent,Very High,Good,23d4dc6f-6108-4b9f-984b-6737fac5f1e7,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,440.8333333333333
50,Yes,2,869,2,3,2,2,1,47,1,1,86,2,1,8,3,1,2683,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2,College,Low,Medium,High,Excellent,High,Better,7d731b63-1357-41ec-96f1-d29db9abd2a1,2025-04-23 17:27:03,2025-04-23 17:27:03,1.5,670.75
35,No,2,890,2,2,3,2,1,49,4,0,97,3,1,8,4,1,2014,9687,1,0,0,13,3,1,80,0,2,3,3,2,2,2,2,Bachelor,Very High,High,Very High,Excellent,Low,Better,cf2e98f3-a4a8-49c7-9053-fbe03342d4ea,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,671.3333333333334
36,No,2,852,1,5,4,1,1,51,2,0,82,2,1,6,1,1,3419,13072,9,0,1,14,3,4,80,1,6,3,4,1,1,0,0,Master,Medium,Medium,Low,Excellent,Very High,Best,8a3fbbe9-a706-4448-8a11-7e5fbc5a47f6,2025-04-23 17:27:03,2025-04-23 17:27:03,0.6,1709.5
33,No,1,1141,2,1,3,1,1,52,3,0,42,4,2,7,1,1,5376,3193,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3,Bachelor,High,Very High,Low,Excellent,Low,Better,8a8b10bd-7e48-4650-9401-bd1089b361b1,2025-04-23 17:27:03,2025-04-23 17:27:03,3.3333333333333335,896.0
35,No,2,464,1,4,2,4,1,53,3,1,75,3,1,2,4,0,1951,10910,1,0,0,12,3,3,80,1,1,3,3,1,0,0,0,College,High,High,Very High,Excellent,High,Better,983e8b90-0e4d-4c92-be50-411f07bb82cb,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,975.5
27,No,2,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,2341,19715,1,0,0,13,3,4,80,1,1,6,3,1,0,0,0,Master,Very High,High,Low,Excellent,Very High,Better,4dbc078a-4ebe-481a-92eb-501c5d9db77b,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1170.5
26,Yes,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1,Bachelor,Low,Low,High,Excellent,High,Good,ccc3302f-05f6-4996-91ff-7444cd574d6b,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1146.5
27,No,1,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,8726,2975,1,0,0,15,3,4,80,0,9,0,3,9,8,1,7,Bachelor,Very High,High,High,Excellent,Very High,Better,769e8842-d808-4707-a70a-88593b620fa2,2025-04-23 17:27:03,2025-04-23 17:27:03,4.5,872.6
30,No,1,721,1,1,2,3,1,57,3,0,58,3,2,2,4,2,4011,10781,1,0,0,23,4,4,80,0,12,2,3,12,8,3,7,College,High,High,Very High,Outstanding,Very High,Better,6b353046-cf7f-4292-a1b3-ad4cd447467c,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,308.53846153846155
41,Yes,2,1360,1,12,3,5,1,58,2,0,49,3,5,5,3,1,19545,16280,1,0,0,12,3,4,80,0,23,0,3,22,15,15,8,Bachelor,Medium,High,High,Excellent,Very High,Better,31e3f52f-5db9-48c0-be96-c10ebcde0130,2025-04-23 17:27:03,2025-04-23 17:27:03,11.5,849.7826086956521
34,No,0,1065,2,23,4,2,1,60,2,1,72,3,2,7,3,2,4568,10034,0,0,0,20,4,3,80,0,10,2,3,9,5,8,7,Master,Medium,High,High,Outstanding,High,Better,0838bc6e-69a4-4e3a-a172-b8c10ad1c0e9,2025-04-23 17:27:03,2025-04-23 17:27:03,10.0,456.8
37,No,2,408,1,19,2,1,1,61,2,1,73,3,1,6,2,1,3022,10227,4,0,0,21,4,1,80,0,8,1,3,1,0,0,0,College,Medium,High,Medium,Outstanding,Low,Better,55c0e11f-c1d8-4648-894f-f99dcd24f8c9,2025-04-23 17:27:03,2025-04-23 17:27:03,1.6,1511.0
46,No,1,1211,2,5,4,2,1,62,1,1,98,3,2,7,4,2,5772,20445,4,0,1,21,4,3,80,0,14,4,3,9,6,0,8,Master,Low,High,Very High,Outstanding,High,Better,e59de8da-2a89-4a88-a6eb-eda47aa262c5,2025-04-23 17:27:03,2025-04-23 17:27:03,2.8,577.2
35,No,2,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,0,19,3,4,80,0,1,2,3,1,0,0,1,Below College,Very High,Very High,Very High,Excellent,Very High,Better,765c42c0-0403-4581-82fe-d2d13c91454e,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1134.5
48,Yes,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,5381,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0,College,Low,Medium,High,Excellent,Very High,Better,4259ff66-bd9d-4e78-a089-abce08a1f385,2025-04-23 17:27:03,2025-04-23 17:27:03,2.3,2690.5
28,Yes,2,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,3441,11179,1,0,1,13,3,3,80,0,2,3,2,2,2,2,2,Master,High,High,High,Excellent,High,Good,a4c4a485-4170-4a9d-a5b8-1a37533778cf,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,1147.0
44,No,2,1488,2,1,5,2,1,68,2,0,75,3,2,7,1,0,5454,4009,5,0,1,21,4,3,80,1,9,2,2,4,3,1,3,Doctor,Medium,High,Low,Outstanding,High,Good,9e6a64e1-307c-44c5-8a8b-cd4349c497b3,2025-04-23 17:27:03,2025-04-23 17:27:03,1.5,1090.8
35,No,0,1097,1,11,2,3,1,70,3,1,79,2,3,0,1,1,9884,8302,2,0,1,13,3,3,80,1,10,3,3,4,0,2,3,College,High,Medium,Low,Excellent,High,Better,086a3529-55d0-44d5-b2dd-506722a64484,2025-04-23 17:27:03,2025-04-23 17:27:03,3.3333333333333335,1976.8
26,No,2,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,4157,21436,7,0,1,19,3,3,80,1,5,2,2,2,2,0,0,Bachelor,High,Medium,Very High,Excellent,High,Good,0772c15f-b3c5-4c34-a17b-aa65a1b388d7,2025-04-23 17:27:03,2025-04-23 17:27:03,0.625,1385.6666666666667
33,No,1,515,1,1,2,1,1,73,1,0,98,3,3,5,4,2,13458,15146,1,0,1,12,3,3,80,0,15,1,3,15,14,8,12,College,Low,High,Very High,Excellent,High,Better,52bb4e72-6a7b-4597-890f-a1cb16e1452e,2025-04-23 17:27:03,2025-04-23 17:27:03,7.5,841.125
35,No,1,853,2,18,5,1,1,74,2,1,71,3,3,7,1,1,9069,11031,1,0,0,22,4,4,80,1,9,3,2,9,8,1,8,Doctor,Medium,High,Low,Outstanding,Very High,Good,0849fa24-a3cb-4d29-aa67-fd996068c6e6,2025-04-23 17:27:03,2025-04-23 17:27:03,4.5,906.9
35,No,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,4014,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2,Master,High,High,Low,Excellent,High,Better,c7d75bf8-7ef8-432c-8410-7267e369efe6,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,1338.0
31,No,2,655,1,7,4,1,1,76,4,1,48,3,2,2,4,0,5915,9528,3,0,0,22,4,4,80,1,10,3,2,7,7,1,7,Master,Very High,High,Very High,Outstanding,Very High,Good,a982cad2-ff2c-4d84-9585-0742e0c1df04,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,739.375
37,No,2,1115,1,1,4,1,1,77,1,1,51,2,2,4,3,0,5993,2689,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7,Master,Low,Medium,High,Excellent,High,Best,3131101b-7995-48aa-8968-6cba9ba08aae,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,749.125
32,No,2,427,1,1,3,3,1,78,1,1,33,3,2,4,4,1,6162,10877,1,0,1,22,4,2,80,1,9,3,3,9,8,7,8,Bachelor,Low,High,Very High,Outstanding,Medium,Better,f59cb68d-4544-4795-8298-b00c12e6c375,2025-04-23 17:27:03,2025-04-23 17:27:03,4.5,616.2
38,No,1,653,1,29,5,1,1,79,4,0,50,3,2,2,4,2,2406,5456,1,0,0,11,3,4,80,0,10,2,3,10,3,9,9,Doctor,Very High,High,Very High,Excellent,Very High,Better,aba71681-26f9-4fde-9a50-50e1a7760e8c,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,218.72727272727272
50,No,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,18740,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8,College,Medium,Medium,High,Excellent,Very High,Good,3968fcbf-f50a-410d-b814-d6976baccdc0,2025-04-23 17:27:03,2025-04-23 17:27:03,4.833333333333333,669.2857142857143
59,No,2,1435,2,25,3,1,1,81,1,0,99,3,3,7,1,2,7637,2354,7,0,0,11,3,4,80,0,28,3,2,21,16,7,9,Bachelor,Low,High,Low,Excellent,Very High,Good,65d5bfbf-e258-4f63-a3d9-500b9f80d740,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,347.1363636363636
36,No,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,10096,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8,Bachelor,High,High,High,Excellent,Medium,Better,27475df7-4f7c-4078-ab44-461f0d4ec7dd,2025-04-23 17:27:03,2025-04-23 17:27:03,8.5,560.8888888888889
55,No,2,836,1,8,3,3,1,84,4,0,33,3,4,3,3,0,14756,19730,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2,Bachelor,Very High,High,High,Excellent,High,Better,afb152cf-29bf-4631-9b0f-3fb0d532b5ab,2025-04-23 17:27:03,2025-04-23 17:27:03,7.0,2459.3333333333335
36,No,1,1195,1,11,3,1,1,85,2,1,95,2,2,4,2,2,6499,22656,1,0,0,13,3,3,80,0,6,3,3,6,5,0,3,Bachelor,Medium,Medium,Medium,Excellent,High,Better,f060eaec-5571-4a9d-bf16-9e73a14f33cd,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,928.4285714285714
45,No,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,9724,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0,Bachelor,Medium,High,Low,Excellent,High,Better,16da3d91-ae7e-4cdf-a395-da520ac6cde8,2025-04-23 17:27:03,2025-04-23 17:27:03,8.333333333333334,4862.0
35,No,1,664,1,1,3,3,1,88,2,1,79,3,1,6,1,1,2194,5868,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2,Bachelor,Medium,High,Low,Excellent,Very High,Good,d2d07f1e-0852-4abd-953c-cb16ce14b833,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,548.5
36,Yes,2,318,1,9,3,3,1,90,4,1,79,2,1,6,3,1,3388,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0,Bachelor,Very High,Medium,High,Excellent,Low,Good,e5531da9-4200-4c1f-8df9-ce53546768df,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,1694.0
59,No,1,1225,2,1,1,1,1,91,1,0,57,2,2,7,3,2,5473,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3,Below College,Low,Medium,High,Excellent,Very High,Good,34ea1df0-e8cb-436d-ae2b-c17be619bf19,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,1094.6
29,No,2,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,2703,4956,0,0,0,23,4,4,80,1,6,3,3,5,4,0,4,Bachelor,High,High,Medium,Outstanding,Very High,Better,6f035b4b-310a-4284-86fd-b4be52a1e292,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,450.5
31,No,2,1082,1,1,4,3,1,95,3,1,87,3,1,6,2,2,2501,18775,1,0,0,17,3,2,80,0,1,4,3,1,1,1,0,Master,High,High,Medium,Excellent,Medium,Better,c5bf005f-94e5-4968-afec-b2ac6216f3f8,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1250.5
32,No,2,548,1,1,3,1,1,96,2,1,66,3,2,6,2,1,6220,7346,1,0,0,17,3,2,80,2,10,3,3,10,4,0,9,Bachelor,Medium,High,Medium,Excellent,Medium,Better,a0c9389c-5d5e-4694-8c3f-d9e645cb07b4,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,565.4545454545455
36,No,2,132,1,6,3,1,1,97,2,0,55,4,1,2,4,1,3038,22002,3,0,0,12,3,2,80,0,5,3,3,1,0,0,0,Bachelor,Medium,Very High,Very High,Excellent,Medium,Better,018f2a3a-a675-4509-90fa-bab818046ad0,2025-04-23 17:27:03,2025-04-23 17:27:03,1.25,1519.0
31,No,2,746,1,8,4,1,1,98,3,0,61,3,2,4,4,2,4424,20682,1,0,0,23,4,4,80,0,11,2,3,11,7,1,8,Master,High,High,Very High,Outstanding,Very High,Better,0b96e133-35cb-4838-99b7-dc1481e954a0,2025-04-23 17:27:03,2025-04-23 17:27:03,5.5,368.6666666666667
35,No,2,776,2,1,4,2,1,100,3,1,32,2,2,7,1,2,4312,23016,0,0,0,14,3,2,80,0,16,2,3,15,13,2,8,Master,High,Medium,Low,Excellent,Medium,Better,d8e45de8-081f-4bf7-984e-eab9ed95ad81,2025-04-23 17:27:03,2025-04-23 17:27:03,16.0,269.5
45,No,2,193,1,6,4,4,1,101,4,1,52,3,3,5,1,1,13245,15067,4,0,1,14,3,2,80,0,17,3,4,0,0,0,0,Master,Very High,High,Low,Excellent,Medium,Best,afcba302-a060-45b9-95d1-59213d0b29b9,2025-04-23 17:27:03,2025-04-23 17:27:03,3.4,13245.0
37,No,2,397,1,7,4,3,1,102,1,1,30,3,3,5,3,2,13664,25258,4,0,0,13,3,1,80,0,16,3,4,5,2,0,2,Master,Low,High,High,Excellent,Low,Best,229c5e14-923a-4980-94ef-2455d98c7227,2025-04-23 17:27:03,2025-04-23 17:27:03,3.2,2277.3333333333335
46,No,2,945,0,5,2,3,1,103,2,1,80,3,2,1,2,0,5021,10425,8,0,1,22,4,4,80,1,16,2,3,4,2,0,2,College,Medium,High,Medium,Outstanding,Very High,Better,52beb372-d7a9-4daf-83f8-363f8123c959,2025-04-23 17:27:03,2025-04-23 17:27:03,1.7777777777777777,1004.2
30,No,2,852,1,1,1,1,1,104,4,1,55,2,2,2,4,1,5126,15998,1,0,1,12,3,3,80,2,10,1,2,10,8,3,0,Below College,Very High,Medium,Very High,Excellent,High,Good,d40855d9-724c-4aaf-b2ae-1364788210cd,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,466.0
